dim,s,time,sampled,sieved,compared,num_short
28,10,0.254,315,6058,3600756,7
28,100,0.514,315,12489,7400846,9
28,1000,0.76,307,18753,11001149,56
29,10,0.354,379,7285,4954472,55
29,100,0.727,378,15057,10356042,56
29,1000,1.062,377,22181,15187626,0
30,10,0.667,405,8473,6703811,54
30,100,1.447,465,18010,14450056,54
30,1000,2.133,436,27116,21410619,45
31,10,0.681,484,10002,9131718,55
31,100,1.944,490,21160,19407723,55
31,1000,2.133,511,31535,28982873,18
32,10,1.029,561,12461,13346119,63
32,100,2.038,567,25095,26661922,61
32,1000,2.996,557,37517,39240006,39
33,10,1.477,678,14846,18837625,65
33,100,2.818,667,29383,36172562,3
33,1000,4.227,591,44647,54334142,56
